"Date","Andalusia","Balearic Islands","Canary Islands","Catalonia","Valencia","Madrid","Rest of regions","Spain"
"135","2012-03-01",-0.1,0.11,-0.007,0.125,0.014,0.051,-0.006,-0.048
"136","2012-04-01",-0.035,-0.053,-0.137,0.15,-0.169,0.072,-0.095,-0.102
"137","2012-05-01",-0.03,0.016,0.009,0.112,0.036,0.217,0.012,-0.078
"138","2012-06-01",-0.049,0.043,0.047,0.112,0.08,0.177,-0.111,-0.134
"139","2012-07-01",-0.033,0.021,-0.014,0.097,0.061,0.07,0.031,-0.051
"140","2012-08-01",0.043,0.021,0,0.152,0.019,-0.313,0.086,-0.014
"141","2012-09-01",0.043,0.088,-0.004,0.078,0.074,-0.057,-0.046,0.001
"142","2012-10-01",-0.064,0.008,-0.024,0.025,-0.046,-0.081,-0.069,-0.069
"143","2012-11-01",0.064,-0.029,-0.037,0.028,0.042,0.041,-0.054,-0.029
"144","2012-12-01",-0.101,0.098,-0.001,0.074,0.037,-0.217,0.046,-0.011
"145","2013-01-01",-0.079,0.157,-0.062,0.013,0.09,-0.074,-0.075,-0.057
"146","2013-02-01",0.027,-0.061,-0.029,0.076,0.08,-0.101,-0.028,-0.038
"147","2013-03-01",0.098,0.179,0.042,0.112,0.049,0.074,0.02,0.094
"148","2013-04-01",-0.014,0.087,-0.007,0.007,0.289,0.028,-0.038,0.044
"149","2013-05-01",0.052,0.127,0.081,0.063,0.169,-0.085,0.014,0.141
"150","2013-06-01",0.017,0.083,0.03,0.069,0.096,-0.119,0.067,0.051
"151","2013-07-01",0.066,0.011,0.027,0.028,0.048,-0.112,0.032,0.022
"152","2013-08-01",0.061,0.106,0.061,0.123,0.115,-0.222,-0.009,-0.034
"153","2013-09-01",0.027,0.028,0.051,0.075,0.059,0.014,0.069,-0.027
"154","2013-10-01",0.05,0.079,0.075,0.11,0.144,-0.053,-0.001,-0.044
"155","2013-11-01",0.051,-0.087,0.179,0.146,0.09,-0.106,0.08,-0.043
"156","2013-12-01",0.203,0.092,0.132,0.202,0.167,0.198,0.118,-0.022
"157","2014-01-01",0.236,-0.113,0.137,0.136,0.049,0.123,0.089,-0.008
"158","2014-02-01",0.104,-0.153,0.111,0.13,0.241,0.053,0.155,0.044
"159","2014-03-01",-0.105,-0.316,0.077,0.049,0.092,0.032,0.047,-0.055
"160","2014-04-01",0.196,0.084,0.221,0.116,0.038,0.009,0.218,0.085
"161","2014-05-01",0.104,0.012,0.129,0.023,0.028,0.117,0.091,-0.022
"162","2014-06-01",0.055,0.021,0.081,0.024,0.009,0.145,0.104,0.025
"163","2014-07-01",0.074,0.039,0.084,0.026,0.007,0.047,0.216,-0.007
